,Compound Score,Negative Score,Neutral Score,News Outlet,Positive Score,Tweet Text,Tweet Time,Tweets Ago
28,0.0,0.0,1.0,BBC,0.0,RT @BBCTheOneShow: It's @ChrisGPackham UK Bioblitz 2018. Over ten days Chris &amp; his team will visit 50 wildlife sites in the UK to highlight…,Fri Jul 13 09:59:32 +0000 2018,29
29,0.0,0.0,1.0,BBC,0.0,"Who is the mysterious Hester Appleyard?

Natalie Dormer spills the beans on her enigmatic role in… https://t.co/6oHcD9SONr",Fri Jul 13 08:03:04 +0000 2018,30
30,0.1779,0.0,0.909,BBC,0.091,"""I think the NHS is one of the biggest assets we have in this country,"" says @JonniePeacock.… https://t.co/PTiCP0xeHc",Fri Jul 13 07:27:05 +0000 2018,31
31,0.0,0.0,1.0,BBC,0.0,"⚠️ Watch out! ⚠️ Today is Friday the 13th...

📆😰 But why is this date considered unlucky?

https://t.co/RJelR8Rw6p",Fri Jul 13 07:03:02 +0000 2018,32
32,-0.0772,0.071,0.929,BBC,0.0,"😺🎬 Meet Lisio, the ginger cat who jumped onto his owner's shoulders during a serious TV interview.

👉… https://t.co/7DmhNcHnU6",Thu Jul 12 20:02:02 +0000 2018,33
33,0.6249,0.0,0.785,BBC,0.215,"Great Britain's John Curry was the world's first out gay Olympian. This is his story. ⛸

https://t.co/8kFobV3AWe",Thu Jul 12 18:04:07 +0000 2018,34
34,-0.0258,0.215,0.539,BBC,0.246,Not all heroes wear capes. This Australian diving doctor abandoned his holiday to stay with the boys trapped in a c… https://t.co/BRaTqIJP19,Thu Jul 12 17:03:06 +0000 2018,35
35,0.0,0.0,1.0,BBC,0.0,"Orkney’s mysterious stone circles are older than Stonehenge... 

https://t.co/Cbuq22PkVm",Thu Jul 12 16:03:02 +0000 2018,36
36,0.6597,0.178,0.512,BBC,0.31,"RT @BBCOne: Love and trust, shattered by secrets and lies. Keeping Faith from @BBCWales starring @TeamEveMyles starts tonight at 9pm on BBC…",Thu Jul 12 14:47:18 +0000 2018,37
37,0.4404,0.0,0.854,BBC,0.146,"The university access watchdog says students' backgrounds should be taken into account when awarding places, to imp… https://t.co/q9vW9zt46B",Thu Jul 12 13:04:03 +0000 2018,38
38,0.0,0.0,1.0,BBC,0.0,"Why are more parents around the world choosing to raise only children?

https://t.co/bWil43TvES",Thu Jul 12 12:04:04 +0000 2018,39
39,-0.3182,0.087,0.913,BBC,0.0,"RT @BBCFOUR: Dr Lucy Worsley shows how Britain's new ruling family fought the French, the Jacobites and each other, all at the same time. T…",Thu Jul 12 11:43:48 +0000 2018,40
40,0.0,0.0,1.0,BBC,0.0,Meet the people getting the @bbcproms off to a spectacular start. 😍🎶🎻 https://t.co/rD5I0XXrLz https://t.co/5im1Tokqsr,Thu Jul 12 11:02:03 +0000 2018,41
41,0.0,0.0,1.0,BBC,0.0,"♻️🥛Meet the schoolchildren who redesigned their milk cartons without plastic straws. 

Their school now uses fully… https://t.co/hK4M1UtcHk",Thu Jul 12 10:30:00 +0000 2018,42
42,-0.1788,0.182,0.733,BBC,0.086,"Adam can't hide the fact that he has a stutter, and he doesn't want to anymore.

https://t.co/JVzJkk828L",Thu Jul 12 08:03:03 +0000 2018,43
43,0.0,0.0,1.0,BBC,0.0,"Native wildlife is ""flocking back"" to the Outer Hebrides following a 17-year project to eradicate the American mink… https://t.co/QbGQddmWyW",Thu Jul 12 07:31:08 +0000 2018,44
44,0.0,0.0,1.0,BBC,0.0,"Walrus siestas can last a week! 💤 These incredible creatures know how to nap... 

https://t.co/qZRpNBkpuc",Thu Jul 12 07:03:04 +0000 2018,45
45,0.0,0.0,1.0,BBC,0.0,"It’s not coming home. 💔

But it's been an incredible journey. ♥️

https://t.co/TrqeqzfTUq  #ENG #WorldCup… https://t.co/nCoN5lDJys",Wed Jul 11 20:39:03 +0000 2018,46
46,0.0,0.0,1.0,BBC,0.0,"RT @BBCSport: GOAL

Mario Mandzukic drills Croatia in front.

#CRO 2-1 #ENG 

LIVE:
📱 https://t.co/C5GtYW7jpj 
📻 @5liveSport 

#ENGCRO #Wor…",Wed Jul 11 20:23:23 +0000 2018,47
47,-0.1027,0.076,0.924,BBC,0.0,"RT @BBCSport: Extra-time it is... and we're underway...

How are your nerves?

#CRO 1-1 #ENG 

LIVE:
📱 https://t.co/C5GtYW7jpj 
📻 @5liveSpo…",Wed Jul 11 20:03:46 +0000 2018,48
48,0.3612,0.0,0.865,BBC,0.135,"Full time: #CRO 1-1 #ENG 

Who's ready for another 30 minutes?

Follow it live: 
📱 https://t.co/TrqeqzfTUq  
📻… https://t.co/CuPZrrxFEW",Wed Jul 11 19:52:13 +0000 2018,49
49,-0.296,0.306,0.694,BBC,0.0,RT @BBCBreakfast: No fingernails left... https://t.co/E4oE20owSY,Wed Jul 11 19:49:56 +0000 2018,50
50,0.0,0.0,1.0,BBC,0.0,"RT @BBCSport: GOAL 

#CRO 1-1 #ENG 

Ivan Perisic meets a cross to flick Croatia level.

LIVE:
📱 https://t.co/C5GtYW7jpj 
📻 @5liveSport htt…",Wed Jul 11 19:27:11 +0000 2018,51
51,-0.0191,0.056,0.944,BBC,0.0,"It doesn't matter where you're watching, as long as you're watching. ⚽️⚽️⚽️

Millions of #ENG fans are watching… https://t.co/geST9JHDr4",Wed Jul 11 19:20:29 +0000 2018,52
52,0.0,0.0,1.0,BBC,0.0,"RT @5liveSport: Only three men have ever scored for #ENG in a semi-final of a #WorldCup

⚽ Sir Bobby Charlton
⚽ @GaryLineker
⚽ Kieran Tripp…",Wed Jul 11 19:16:46 +0000 2018,53
53,0.6705,0.0,0.776,BBC,0.224,"RT @BBCOne: We’re pretty sure that exactly 53% of the population is covered in beer right now 🤔🤗 #ENGCRO #WorldCup

https://t.co/l5UTbo9n7x",Wed Jul 11 19:02:33 +0000 2018,54
54,0.3182,0.0,0.874,BBC,0.126,A gripping reimagining of Joan Lindsay's iconic novel that delves into the mysterious disappearances of three schoo… https://t.co/d4nPoQXIYJ,Wed Jul 11 19:02:02 +0000 2018,55
55,0.0,0.0,1.0,BBC,0.0,"Half time in Moscow. 

#CRO 0-1 #ENG
￼
Follow:

📱 https://t.co/5KN3TtJ2Zz  
📻 @5livesport

#ENGCRO #WorldCup https://t.co/TVSyyaX8dl",Wed Jul 11 18:50:03 +0000 2018,56
56,0.0,0.0,1.0,BBC,0.0,"RT @BBCSport: GOAL!

What a start! What a goal!

Kieran Trippier whips a free-kick right in! 

#CRO 0-1 #ENG 

LIVE: 
📱 https://t.co/C5GtYW…",Wed Jul 11 18:06:07 +0000 2018,57
57,0.0,0.0,1.0,BBC,0.0,"It's time. ⚽️

#ENGCRO #worldcup #bbcworldcup https://t.co/A0zRUx5CVK",Wed Jul 11 18:00:11 +0000 2018,58
58,0.0,0.0,1.0,BBC,0.0,"Prince Harry knows... #ItsComingHome ️⚽️➡️🏠

#ENGCRO #ENG #WorldCup #ThreeLions 

https://t.co/ouBlfHLWry",Wed Jul 11 17:57:05 +0000 2018,59
59,0.0,0.0,1.0,BBC,0.0,"The @BBCEastenders prediction for tonight's #WorldCup semi-final? 

""Ta-ta Croatia!"" 👋😂 @MrDDyer

#ThreeLions… https://t.co/wRv1AlP9s6",Wed Jul 11 17:01:04 +0000 2018,60
60,0.0,0.0,1.0,BBC,0.0,"What's that David Attenborough... it's coming home? 🏴󠁧󠁢󠁥󠁮󠁧󠁿️⚽️🏆😆

🔊 Turn your sound on!  🔊

#WorldCup #ThreeLions… https://t.co/fkYYIqg2fO",Wed Jul 11 16:01:05 +0000 2018,61
61,0.0,0.0,1.0,BBC,0.0,The National Gallery has acquired its first work by a woman for 27 years. 🖌 https://t.co/WkCtpvqKtN https://t.co/NZRjCCw3z5,Wed Jul 11 13:03:06 +0000 2018,62
62,0.5994,0.0,0.692,BBC,0.308,"The last time #ENG played a #WorldCup Semi Final, @bbceastenders looked like this... https://t.co/JeYtBettzm",Wed Jul 11 11:32:03 +0000 2018,63
63,0.3612,0.0,0.884,BBC,0.116,"🤔 Game Boys, Vanilla Ice and a new TV programme called 'The Simpsons'... 

This is what #England looked like last t… https://t.co/YTCXpNJvqb",Wed Jul 11 11:02:02 +0000 2018,64
64,0.0,0.0,1.0,BBC,0.0,"RT @BBCSport: Just hold on...it's coming home.

#WorldCup #ThreeLions https://t.co/TCTpYhNV1s",Wed Jul 11 09:53:20 +0000 2018,65
65,0.5719,0.0,0.829,BBC,0.171,"This will give you goosebumps. 

The last time England won a #WorldCup semi-final it was a 2-1 victory over Portuga… https://t.co/2gRGni9S3y",Wed Jul 11 09:32:05 +0000 2018,66
66,-0.2732,0.095,0.905,BBC,0.0,"In this city, a six-figure salary is considered 'low income' and not enough for a family of four to get by on.… https://t.co/1qyDWTPSrG",Wed Jul 11 09:04:05 +0000 2018,67
67,0.5859,0.0,0.798,BBC,0.202,"#BluePlanet2 ✅ 
That unforgettable concert ✅ 
Brilliant Bedtime Stories ✅
A new Doctor ✅
and so much more. Here are… https://t.co/ZVSKIHOXDk",Wed Jul 11 08:00:00 +0000 2018,68
68,0.5018,0.0,0.755,BBC,0.245,"RT @BBCSport: More of this please! 😊

#ENGCRO #ENG #ThreeLions #bbcworldcup https://t.co/706Vsdfy2Y",Wed Jul 11 07:39:04 +0000 2018,69
69,-0.8402,0.429,0.571,BBC,0.0,"💈⚽️🙌🏾 Dead trims, missed penalties, 30 yard screamers, calling players out, football coming home...… https://t.co/ZrrQJ1Qn9h",Wed Jul 11 07:33:03 +0000 2018,70
70,0.0,0.0,1.0,BBC,0.0,"🌡🔥☀️ This one goes out to all the gingers braving the sun today... 

https://t.co/4Ed3y2Xp0f",Wed Jul 11 07:03:05 +0000 2018,71
71,0.0,0.0,1.0,BBC,0.0,"The heatwave has unveiled ancient hillforts and Roman settlements in Wales. 👉
 https://t.co/L1VdHWkMP7 https://t.co/luXjJV5v3Y",Tue Jul 10 20:02:05 +0000 2018,72
72,0.0,0.0,1.0,BBC,0.0,"Take a look at the rollercoaster years at Nokia, a company that dominated a nation. 

The Rise and Fall of Nokia |… https://t.co/7uflzUaeTj",Tue Jul 10 19:04:02 +0000 2018,73
73,0.8625,0.0,0.556,BBC,0.444,"Can you feel richer by giving your money away? 💸 This lottery winner thinks so.

https://t.co/BgKlrEfssV",Tue Jul 10 18:04:04 +0000 2018,74
74,0.7717,0.0,0.676,BBC,0.324,"'I wanted to live inside you like a parasite'. 

A letter to my first love 💌👉 https://t.co/batgnuHRoi https://t.co/G0kGuLzHqU",Tue Jul 10 17:31:05 +0000 2018,75
75,-0.8338,0.34,0.593,BBC,0.066,"🙅No one likes making mistakes, but messing up isn’t always a bad thing.

Here are six reasons why making mistakes c… https://t.co/N7jMLZKLcE",Tue Jul 10 15:32:02 +0000 2018,76
76,0.7269,0.0,0.711,BBC,0.289,"RT @bbctennis: Serena Williams has some pretty big names supporting her.

Oh hey, @Drake 

LIVE👉https://t.co/RIpcahMeKm
📺 @BBCOne 
#bbctenn…",Tue Jul 10 15:14:38 +0000 2018,77
77,0.6763,0.079,0.68,BBC,0.242,"No one does strawberries like we do in Britain! 🍓🇬🇧🍦

Now they're in season, make the most of these delicious straw… https://t.co/QKdHxenZNu",Tue Jul 10 13:01:05 +0000 2018,78
78,0.4939,0.0,0.868,BBC,0.132,'Everyone safe': all 12 members of a Thai youth football team and their coach have been brought safely out of the c… https://t.co/c5bzSFM2ND,Tue Jul 10 12:18:03 +0000 2018,79
79,0.0,0.0,1.0,BBC,0.0,"Neelam and Dinesh’s son Akash took his own life three years ago. 

Now they’re trying to get the British Asian comm… https://t.co/pX5ZIH2mj3",Tue Jul 10 12:03:04 +0000 2018,80
80,0.4588,0.073,0.769,BBC,0.158,"Ever found something weird and wonderful on a British beach? 

@BBCFOUR will be LIVE from the Jurassic Coast next w… https://t.co/CY4ej7SjQh",Tue Jul 10 11:33:00 +0000 2018,81
81,-0.5632,0.188,0.812,BBC,0.0,"Have you ever seen a baby puffin? 🐣

Experts worry we may not get the chance in the future if Scotland’s puffin pop… https://t.co/uRKs7VXQMv",Tue Jul 10 11:04:01 +0000 2018,82
82,0.0,0.0,1.0,BBC,0.0,RT @bbcweather: Remember to look up around 1pm today if you're in London / SE / Suffolk / Colchester / Chelmsford for the @RoyalAirForce #R…,Tue Jul 10 09:17:05 +0000 2018,83
83,0.3612,0.0,0.884,BBC,0.116,"RT @BBCOne: “I felt like a piece of meat at a meat market”.

@BBCPanorama investigates President Donald Trump.

Tonight | 8.30pm | BBC One…",Tue Jul 10 09:06:27 +0000 2018,84
84,0.8402,0.0,0.5,BBC,0.5,RT @BBCNews: Cave rescue: Divers ready to save remaining five Thais https://t.co/ed7GteDLor,Tue Jul 10 08:59:10 +0000 2018,85
